Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/17/2020,ID-JB,Jawa Barat,11,0,0,11,20,2,65,-47,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.24,0.44,0.04,0,10,325,0,1
3/17/2020,ID-SU,Sumatera Utara,1,1,0,0,1,1,10,-10,Province,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.07,0.07,0.07,0.01,100,1000,0,0
3/18/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.24,0.24,0.02,100,300,1,1
3/18/2020,ID-JK,DKI Jakarta,1,1,0,0,66,35,83,-52,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.09,6.09,3.23,0.32,53.0303,125.76,0.5,1
3/18/2020,IDN,Indonesia,55,14,2,39,227,19,11,197,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.21,0.86,0.07,0.01,8.37004,4.85,1.45,0
3/18/2020,ID-JB,Jawa Barat,4,1,2,1,24,3,67,-46,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.09,0.53,0.07,0.01,12.5,279.17,0.36,0
3/18/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,10,-10,Province,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0,0.07,0.07,0.01,100,1000,0,0
3/19/2020,ID-BA,Bali,1,1,0,0,2,2,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.24,0.47,0.47,0.05,100,150,0,0
3/19/2020,ID-JK,DKI Jakarta,2,0,1,1,68,35,84,-51,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,6.27,3.23,0.32,51.4706,123.53,2,0
3/19/2020,IDN,Indonesia,82,6,4,72,309,25,15,269,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.31,1.17,0.09,0.01,8.09062,4.85,1.49,0.43
3/19/2020,ID-JB,Jawa Barat,5,1,1,3,29,4,68,-43,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.11,0.64,0.09,0.01,13.7931,234.48,1.25,1
